,city,state,age,males,females,state_name,city_state
0,Abbeville,LA,40.0,1,0,Louisiana,"Abbeville, Louisiana"
1,Algiers,LA,26.0,1,0,Louisiana,"Algiers, Louisiana"
2,Algiers,LA,33.0,1,0,Louisiana,"Algiers, Louisiana"
3,Ascension Parish,LA,58.0,1,0,Louisiana,"Ascension Parish, Louisiana"
4,Avondale,LA,17.0,1,0,Louisiana,"Avondale, Louisiana"
5,Avondale,LA,22.0,1,0,Louisiana,"Avondale, Louisiana"
6,Avondale,LA,63.0,1,0,Louisiana,"Avondale, Louisiana"
7,Baker,LA,33.0,1,0,Louisiana,"Baker, Louisiana"
8,Baton Rouge,LA,2.0,1,0,Louisiana,"Baton Rouge, Louisiana"
9,Baton Rouge,LA,15.0,1,0,Louisiana,"Baton Rouge, Louisiana"
10,Baton Rouge,LA,16.0,1,0,Louisiana,"Baton Rouge, Louisiana"
11,Baton Rouge,LA,17.0,2,0,Louisiana,"Baton Rouge, Louisiana"
12,Baton Rouge,LA,18.0,2,0,Louisiana,"Baton Rouge, Louisiana"
13,Baton Rouge,LA,19.0,1,1,Louisiana,"Baton Rouge, Louisiana"
14,Baton Rouge,LA,20.0,6,0,Louisiana,"Baton Rouge, Louisiana"
15,Baton Rouge,LA,21.0,1,1,Louisiana,"Baton Rouge, Louisiana"
16,Baton Rouge,LA,22.0,2,0,Louisiana,"Baton Rouge, Louisiana"
17,Baton Rouge,LA,23.0,3,0,Louisiana,"Baton Rouge, Louisiana"
18,Baton Rouge,LA,24.0,1,0,Louisiana,"Baton Rouge, Louisiana"
19,Baton Rouge,LA,25.0,1,0,Louisiana,"Baton Rouge, Louisiana"
20,Baton Rouge,LA,26.0,1,2,Louisiana,"Baton Rouge, Louisiana"
21,Baton Rouge,LA,27.0,1,1,Louisiana,"Baton Rouge, Louisiana"
22,Baton Rouge,LA,29.0,2,1,Louisiana,"Baton Rouge, Louisiana"
23,Baton Rouge,LA,32.0,2,0,Louisiana,"Baton Rouge, Louisiana"
24,Baton Rouge,LA,33.0,1,0,Louisiana,"Baton Rouge, Louisiana"
25,Baton Rouge,LA,34.0,2,0,Louisiana,"Baton Rouge, Louisiana"
26,Baton Rouge,LA,35.0,2,0,Louisiana,"Baton Rouge, Louisiana"
27,Baton Rouge,LA,38.0,1,0,Louisiana,"Baton Rouge, Louisiana"
28,Baton Rouge,LA,39.0,1,0,Louisiana,"Baton Rouge, Louisiana"
29,Baton Rouge,LA,40.0,2,0,Louisiana,"Baton Rouge, Louisiana"
30,Baton Rouge,LA,41.0,1,0,Louisiana,"Baton Rouge, Louisiana"
31,Baton Rouge,LA,43.0,3,0,Louisiana,"Baton Rouge, Louisiana"
32,Baton Rouge,LA,45.0,1,0,Louisiana,"Baton Rouge, Louisiana"
33,Baton Rouge,LA,46.0,1,0,Louisiana,"Baton Rouge, Louisiana"
34,Baton Rouge,LA,48.0,1,0,Louisiana,"Baton Rouge, Louisiana"
35,Baton Rouge,LA,53.0,1,0,Louisiana,"Baton Rouge, Louisiana"
36,Baton Rouge,LA,54.0,1,0,Louisiana,"Baton Rouge, Louisiana"
37,Bayou Vista,LA,36.0,1,0,Louisiana,"Bayou Vista, Louisiana"
38,Blanchard,LA,28.0,1,0,Louisiana,"Blanchard, Louisiana"
39,Bossier City,LA,20.0,1,0,Louisiana,"Bossier City, Louisiana"
40,Bossier City,LA,43.0,1,0,Louisiana,"Bossier City, Louisiana"
41,Bossier City,LA,86.0,1,0,Louisiana,"Bossier City, Louisiana"
42,Bossier City ,LA,21.0,1,0,Louisiana,"Bossier City , Louisiana"
43,Calcasieu Parish,LA,33.0,1,0,Louisiana,"Calcasieu Parish, Louisiana"
44,Carencro,LA,38.0,1,0,Louisiana,"Carencro, Louisiana"
45,Carencro,LA,61.0,1,0,Louisiana,"Carencro, Louisiana"
46,Chalmette,LA,33.0,1,0,Louisiana,"Chalmette, Louisiana"
47,Charenton,LA,52.0,1,0,Louisiana,"Charenton, Louisiana"
48,Charenton,LA,78.0,1,0,Louisiana,"Charenton, Louisiana"
49,Covington,LA,47.0,1,0,Louisiana,"Covington, Louisiana"
50,Creston,LA,37.0,1,0,Louisiana,"Creston, Louisiana"
51,Crowley,LA,32.0,1,0,Louisiana,"Crowley, Louisiana"
52,DeRidder,LA,43.0,1,0,Louisiana,"DeRidder, Louisiana"
53,Denham Springs,LA,18.0,1,0,Louisiana,"Denham Springs, Louisiana"
54,Denham Springs,LA,79.0,1,0,Louisiana,"Denham Springs, Louisiana"
55,Donaldsonville,LA,19.0,2,0,Louisiana,"Donaldsonville, Louisiana"
56,Duson,LA,29.0,1,0,Louisiana,"Duson, Louisiana"
57,East Baton Rouge,LA,35.0,1,0,Louisiana,"East Baton Rouge, Louisiana"
58,Ebarb,LA,27.0,1,0,Louisiana,"Ebarb, Louisiana"
59,Edgard,LA,23.0,1,0,Louisiana,"Edgard, Louisiana"
60,Ferriday,LA,38.0,1,0,Louisiana,"Ferriday, Louisiana"
61,Garyville,LA,29.0,1,0,Louisiana,"Garyville, Louisiana"
62,Gentilly,LA,21.0,1,0,Louisiana,"Gentilly, Louisiana"
63,Gentilly,LA,22.0,1,0,Louisiana,"Gentilly, Louisiana"
64,Gentilly,LA,26.0,1,0,Louisiana,"Gentilly, Louisiana"
65,Gentilly,LA,46.0,1,0,Louisiana,"Gentilly, Louisiana"
66,Gonzales,LA,34.0,1,0,Louisiana,"Gonzales, Louisiana"
67,Gray,LA,19.0,1,0,Louisiana,"Gray, Louisiana"
68,Hammond,LA,23.0,1,0,Louisiana,"Hammond, Louisiana"
69,Hammond,LA,26.0,1,0,Louisiana,"Hammond, Louisiana"
70,Hammond,LA,67.0,1,0,Louisiana,"Hammond, Louisiana"
71,Harahan,LA,50.0,1,0,Louisiana,"Harahan, Louisiana"
72,Harvey,LA,18.0,1,0,Louisiana,"Harvey, Louisiana"
73,Harvey,LA,19.0,2,0,Louisiana,"Harvey, Louisiana"
74,Harvey,LA,22.0,1,0,Louisiana,"Harvey, Louisiana"
75,Harvey,LA,23.0,1,0,Louisiana,"Harvey, Louisiana"
76,Harvey,LA,25.0,1,0,Louisiana,"Harvey, Louisiana"
77,Harvey,LA,32.0,1,0,Louisiana,"Harvey, Louisiana"
78,Harvey,LA,38.0,1,0,Louisiana,"Harvey, Louisiana"
79,Harvey,LA,48.0,2,0,Louisiana,"Harvey, Louisiana"
80,Houma,LA,20.0,1,0,Louisiana,"Houma, Louisiana"
81,Houma,LA,21.0,1,0,Louisiana,"Houma, Louisiana"
82,Houma,LA,33.0,1,0,Louisiana,"Houma, Louisiana"
83,Houma,LA,36.0,1,0,Louisiana,"Houma, Louisiana"
84,Houma,LA,38.0,1,0,Louisiana,"Houma, Louisiana"
85,Houma,LA,53.0,1,0,Louisiana,"Houma, Louisiana"
86,Houma,LA,66.0,1,0,Louisiana,"Houma, Louisiana"
87,Jamestown,LA,20.0,1,0,Louisiana,"Jamestown, Louisiana"
88,Jeanerette,LA,56.0,1,0,Louisiana,"Jeanerette, Louisiana"
89,Jefferson,LA,18.0,1,0,Louisiana,"Jefferson, Louisiana"
90,Jefferson,LA,32.0,1,0,Louisiana,"Jefferson, Louisiana"
91,Jena,LA,33.0,1,0,Louisiana,"Jena, Louisiana"
92,Kenner,LA,19.0,1,0,Louisiana,"Kenner, Louisiana"
93,Kenner,LA,20.0,1,0,Louisiana,"Kenner, Louisiana"
94,Kenner,LA,22.0,1,0,Louisiana,"Kenner, Louisiana"
95,Kenner,LA,24.0,3,0,Louisiana,"Kenner, Louisiana"
96,Kenner,LA,27.0,1,0,Louisiana,"Kenner, Louisiana"
97,Kentwood,LA,30.0,1,0,Louisiana,"Kentwood, Louisiana"
98,Krotz Springs,LA,21.0,1,0,Louisiana,"Krotz Springs, Louisiana"
99,LaFayette,LA,38.0,1,0,Louisiana,"LaFayette, Louisiana"
100,LaPlace,LA,16.0,1,0,Louisiana,"LaPlace, Louisiana"
